id,title,url,author,status,created_at,updated_at,published_at,featured,tags,post_access,email_recipients,newsletter_name,sends,opens,clicks,signups,paid_conversions,feedback_more_like_this,feedback_less_like_this
687ed13e033edba44b15244a,The Airline Interview Process: What Actually Happens from Application to CJO,https://marcusgoll.com/the-airline-interview-process-what-actually-happens-from-application-to-cjo/,Marcus Gollahon,published and emailed,2025-07-21T23:46:06.000Z,2025-07-21T23:55:55.000Z,2025-07-21T23:50:57.000Z,false,#blog,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,380,205,21,0,0,0,0
68670cac92a52cb4b8232f63,Why Your Flight Instructor Can't Read Your Mind (And How to Fix That),https://marcusgoll.com/why-your-flight-instructor-cant-read-your-mind-and-how-to-fix-that/,Marcus Gollahon,published and emailed,2025-07-03T23:05:16.000Z,2025-07-11T19:27:44.000Z,2025-07-11T19:27:44.000Z,false,#blog,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,380,202,31,0,0,0,0
6866f9ed92a52cb4b8232bf8,The Real Talk About Checkrides (That Your CFI Won't Tell You),https://marcusgoll.com/the-real-talk-about-checkrides-that-your-cfi-wont-tell-you/,Marcus Gollahon,published and emailed,2025-07-03T21:45:17.000Z,2025-07-03T23:18:49.000Z,2025-07-03T22:33:25.000Z,false,#blog,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,391,179,46,0,0,1,0
682627489c84a65e6db125b0,Maximize Your Flight Training Budget: 10 Proven Ways to Earn Your Wings Without Wasting a Dime (2025 Edition),https://marcusgoll.com/maximize-your-flight-training-budget-10-proven-ways-to-earn-your-wings-without-wasting-a-dime-2025-edition/,Marcus Gollahon,published and emailed,2025-05-15T17:41:28.000Z,2025-05-15T17:59:09.000Z,2025-05-15T17:59:09.000Z,false,,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,362,142,41,0,0,0,0
67d22a208df48a0889898893,Updated Weight and Balance Spreadsheet,https://marcusgoll.com/updated-weight-and-balance-spreadsheet/,Marcus Gollahon,published and emailed,2025-03-13T00:43:12.000Z,2025-03-13T00:46:31.000Z,2025-03-13T00:46:31.000Z,false,,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,321,155,38,1,0,0,0
673d2e0c6399e35378918131,FAA Knowlege Code Extractor Update #1,https://marcusgoll.com/faa-knowlege-code-extractor-update-1/,Marcus Gollahon,published and emailed,2024-11-20T00:32:12.000Z,2024-11-20T00:39:09.000Z,2024-11-20T00:39:09.000Z,false,,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,238,129,19,3,0,0,0
66c89c1efb680084d66fb801,Every Hour in the Flight Deck is a Lesson,https://marcusgoll.com/every-hour-in-the-cockpit-is-a-lesson/,Marcus Gollahon,published and emailed,2024-08-23T14:26:38.000Z,2024-08-23T14:51:51.000Z,2024-08-23T14:51:27.000Z,true,#blog,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,193,95,5,0,0,0,0
669179c000b0b7b0fe45c9fa,🔥How to Reach Peak Performance in Flight Training🔥,https://marcusgoll.com/how-to-reach-peak-performance-in-flight-training/,Marcus Gollahon,published and emailed,2024-07-12T18:45:20.000Z,2024-07-12T19:02:25.000Z,2024-07-12T19:02:25.000Z,false,"#blog, #newsletter",Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,185,92,7,0,0,0,0
66477689fe145fe91e9e1277,Comprehensive Aeromedical Lesson Plan for CFIs: A Complete Guide,https://marcusgoll.com/complete-aeromedical-lesson-plan/,Marcus Gollahon,published and emailed,2024-05-17T15:23:53.000Z,2024-05-17T15:50:45.000Z,2024-05-17T15:50:45.000Z,true,CFI Lesson Plans,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,183,86,8,4,0,1,0
65b7f06dd6cb9c81cd898579,*Updated Aircraft Weight and Balance Google Sheets Spreadsheet,https://marcusgoll.com/aircraft-weight-and-balance-excel-spreadsheet/,Marcus Gollahon,published and emailed,2024-01-29T18:37:33.000Z,2025-03-13T00:39:47.000Z,2024-02-23T18:59:02.000Z,false,"Flight Forms, Web Tools",Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,172,87,7,19,0,0,0
65c265da143881a8885fb2dc,Part 61 Overview: Key Requirements for Private Pilots,https://marcusgoll.com/part-61-overview-key-requirements-for-private-pilots/,Marcus Gollahon,published and emailed,2024-02-06T17:01:14.000Z,2024-02-19T17:22:13.000Z,2024-02-19T17:22:13.000Z,false,Study Guides,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,175,111,10,4,0,0,0
65c11826143881a8885fb0f3,Instrument Regulations Overview: A Guide to 14 CFR Parts 61 and 91,https://marcusgoll.com/instrument-regulations-overview-a-guide-to-14-cfr-parts-61-and-91/,Marcus Gollahon,published and emailed,2024-02-05T17:17:26.000Z,2024-02-12T16:34:22.000Z,2024-02-12T16:34:22.000Z,false,Study Guides,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,175,79,8,2,0,0,0
65b7ebb3d6cb9c81cd898511,CFI - ASEL Lesson Plans - Tim Morgan Edition,https://marcusgoll.com/cfi-lesson-plans-tim-morgan-edition/,Marcus Gollahon,published and emailed,2024-01-29T18:17:23.000Z,2024-02-07T16:26:42.000Z,2024-02-05T18:38:12.000Z,false,CFI Lesson Plans,Public,All subscribers,Classroom to Cockpit - Marcus Gollahon,176,116,12,3,0,0,0
